ret,vwretd,rf
.0324483960866928,-.06221772,.0021
.1208169981837273,-.02169688,.0013
-.1665167063474655,-.01044434,.0017
.039222065359354,.051199,.0018
-.2125000208616257,.02393502,.0018
.0075265555642545,-.07843555,.0017
-.0092563349753618,-.01341312,.0015
-.0703883394598961,.01059709,.0013
-.1375665366649628,-.09817162,.0015
-.2569688260555267,-.1848376,.0008
-.1148068606853485,-.08468553,.0003
-.3936170339584351,.02223056,0
-.1419274806976318,-.07747499,0
-.0683168843388557,-.1001751,.0001
.3461538851261139,.08681294,.0002
-.0960304513573647,.1094825,.0001
.3074491918087006,.06779663,0
-.0085742827504873,-.003020451,.0001
.1115745231509209,.08179244,.0001
.0803231671452522,.03151431,.0001
.3098273873329163,.04528819,.0001
.0520238727331161,-.02807884,0
-.1078430935740471,.05708582,0
.0100334612652659,.02848637,.0001
-.1089187115430832,-.0371855,0
-.0406504645943642,.0347535,0
.0701298490166664,.06368819,.0001
.2510287463665009,.02003909,.0001
-.0078662661835551,-.07926682,.0001
-.0519839189946651,-.05080204,.0001
-.1224018409848213,.07038396,.0001
-.0119284652173519,-.04288652,.0001
.0733740776777267,.09166859,.0001
.2416666299104691,.03860636,.0001
.0397412478923798,.005121486,.0001
.0147058684378862,.06721339,.0001
-.0334470830857754,.01919021,.0001
.0968688577413559,.03816834,.0001
.0174976270645857,.003342544,.0001
-.014643250964582,.02860189,0
-.0098654367029667,-.01495751,0
-.012545445933938,-.01845294,0
-.1307371407747269,-.0225503,0
-.1453846395015717,-.05759658,.0001
.0046416190452874,-.08502997,0
.0670634359121323,.1142146,0
-.0616438314318657,-.006273334,0
-.3589743375778198,.003670611,0
-.0301057938486338,.05413952,0
.0473279692232609,.04125255,0
-.0015923930332065,.02403937,0
-.0361701287329197,-.006840229,0
-.0880740135908127,-.06564102,.0001
.0021645517554134,.03818082,0
-.1356818526983261,.01030569,0
0,.02633681,.0001
.0289017967879772,.02653238,.0001
-.0078442227095366,-.01406426,.0001
.0101011255756021,.006219453,.0001
-.0417134091258049,.01257959,.0001
.0413244515657425,.05418911,0
.3182893395423889,.008284352,0
-.0138716418296099,.03531997,0
-.40625,.01494205,0
.0868732929229736,.01915481,0
-.0306561626493931,-.01507128,0
.0266745612025261,.05268972,0
.0078173652291298,-.02576067,0
-.0274336654692888,.03751395,0
-.0214592274278402,.03990784,0
-.0216816421598196,.0249728,0
.1267280429601669,.02615955,0
.0212430767714977,-.03004682,0
-.0208213180303574,.04622538,0
-.0357474647462368,.004544167,0
.0991902351379395,.001569083,0
-.0190476756542921,.02026029,0
-.0165562722831964,.0279905,0
-.0470409616827965,-.02056754,0
.0177454594522715,.04022612,0
-.0251950211822987,-.02520842,0
-.0007377520087175,.02117178,0
.0693391487002373,.0211143,0
.0463190823793411,-.003661316,0
-.2604790031909943,-.02720702,0
.4102664887905121,.05599935,0
.081380270421505,-.0104096,0
.0062399660237134,.008776397,0
-.0065334527753294,.01026888,0
-.0291883070021868,-.01927204,0
.0505287125706673,.01206324,0
-.0707279667258263,-.05997899,0
-.3055062294006348,-.03383053,0
.0702293068170547,.07403971,0
.0009750899625942,.002425683,0
.0200893189758062,-.02228848,.0001
-.0552336946129799,-.05718007,.0001
-.238689512014389,.0006043924,.0002
-.1864406317472458,.07058119,.0002
.0207757689058781,.01173658,.0001
-.2485404163599014,.01426884,.0001
-.0897573605179787,.002926236,.0002
-.0474996082484722,.03884608,.0002
.0047619002871215,.002799664,.0002
-.0687437430024147,.003019904,.0002
-.0211932305246592,-.02158622,.0002
-.0571428723633289,.04054575,.0001
.4778947234153748,.01876782,.0003
.0248939748853445,.02217667,.0004
.3215217590332031,.0326319,.0004
-.0093972627073526,.002094969,.0003
.1075316220521927,.009627575,.0005
-.1786210387945175,.009303303,.0006
.0915032178163528,.009551493,.0006
.0079898498952389,.02030879,.0007
.0940073803067207,.001574646,.0009
.0767295435070992,.02377745,.0009
.0322971008718014,.01927679,.0009
-.0393835604190826,.02725249,.0008
.0935358703136444,.01215269,.0009
-.0008779831696302,.05062665,.0011
-.0593439973890781,-.03951111,.0011
.0016697056125849,-.01845426,.0012
.0108695309609175,.004710115,.0014
-.0122301755473018,.02617467,.0014
-.2002913355827332,.005362637,.0014
.0576179139316082,.03160269,.0016
.0147783746942878,.0302044,.0016
-.0363967232406139,.000432142,.0015
.0340795740485191,-.0740757,.0019
.0393700115382671,.01848949,.0018
-.0613181591033936,-.08988895,.0019
-.0106544438749552,.08829524,.0021
.0149253346025944,.03272353,.0018
.0150225916877389,.01296351,.0019
.0756815969944,.03788859,.0021
-.2251655906438828,-.06167856,.0021
.0591123923659325,.06727886,.0018
.0177396461367607,.01185431,.0019
.0211726576089859,-.02033933,.0016
.2017191052436829,.01603297,.0018
-.3683232665061951,.01925594,.0015
-.1080657839775085,.03499652,.0012
.0265328697860241,.02849068,.0014
.0462069027125835,-.001727776,.0013
.0552884675562382,-.07791805,.0012
-.0202118176966906,-.1417326,.0012
.1476400792598724,.1296766,0
.1011326909065247,.05373861,.0001
.0216832160949707,.02529919,.0001
.0341463461518288,.05552867,.0001
-.0005274557624944,.06844293,.0001
-.0474613606929779,-.0350569,.0001
-.0983606576919556,-.02017795,.0001
-.1687898188829422,.1237065,.0001
.051462035626173,.04504809,.0001
